video_id,title,published_at,views,likes,comments
EWSWjAICV7g,Korean Ghost 😨 | Madan Gowri | MG Squad 🖖🏻,2025-07-21T05:06:00Z,331528,9851,25
xFNewtqLY48,Korean Ghost Girl! 😨 | Madan Gowri | MG Squad 🖖🏻,2025-07-20T07:06:00Z,466486,14993,1023
u1zwjRZpdNs,Air India Pilot Did It!? 😮 | Madan Gowri | MG Squad 🖖🏻,2025-07-20T05:06:00Z,1161010,22891,45
f11zCDh6LCU,Indian Pilot 👨‍✈️ Boeing Escape? ✈️ | Madan Gowri | MG Squad 🖖🏻,2025-07-19T07:06:19Z,494958,11982,956
aGajEjiK2EU,India's New ENEMY! | Madan Gowri | MG Squad 🖖🏻,2025-07-19T05:06:00Z,1009850,32813,35
VpZq7t5AQZY,India's New ENEMY? 😮 | Madan Gowri | MG Squad 🖖🏻,2025-07-18T12:46:04Z,358915,11856,762
1_LbChNakRc,The Doll Is Back 😱 | Madan Gowri | MG Squad 🖖🏻,2025-07-18T05:06:00Z,98744,4085,59
dhanTOVfjTI,Annabelle is BACK! 😱 | Madan Gowri | MG Squad 🖖🏻,2025-07-17T11:36:01Z,429709,12786,1045
VSj_Qr1yiK4,Indians are FINISHED! | Madan Gowri | MG Squad 🖖🏻,2025-07-17T05:06:01Z,922250,31786,64
CtqYLI26ieI,🚨Trump vs Indians are FINISHED?! 😰 500% TARIFF? | Madan Gowri | MG Squad 🖖🏻,2025-07-16T12:36:41Z,517886,14562,1777
UDamDds2rHk,Booking TESLA 🚘 | Madan Gowri | MG Squad 🖖🏻,2025-07-16T05:06:00Z,842102,38016,113
